"386,12783,0\n"
"386,3588,5\n"
"386,21507,6\n"
"386,11577,0\n"
"386,10863,0\n"
"386,37449,7\n"
"386,13595,0\n"
"386,40685,8\n"
"386,4382,5\n"
"386,36474,6\n"
"386,29758,3\n"
"386,31669,0\n"
"386,8908,0\n"
"386,8995,0\n"
"386,1731,0\n"
"386,33558,0\n"
"386,39966,6\n"
"386,9055,8\n"
"386,25729,8\n"
"386,30567,7\n"
"386,33811,8\n"
"386,540,0\n"
"386,5996,0\n"
"386,31430,6\n"
"386,30344,7\n"
"386,4033,0\n"
"386,17437,0\n"
"386,11889,0\n"
"386,5832,6\n"
"386,31380,0\n"
"386,13851,0\n"
"386,4654,8\n"
"386,11743,0\n"
"386,6211,8\n"
"386,16011,8\n"
"386,8289,0\n"
"386,2129,8\n"
"386,39469,5\n"
"386,33478,6\n"
"386,32924,6\n"
"386,27927,6\n"
"386,11113,0\n"
"386,34615,0\n"
"386,3593,0\n"
"386,30355,7\n"
"386,34522,3\n"
"386,202,8\n"
"386,1023,0\n"
"386,497,6\n"
"386,30413,0\n"
"386,550,7\n"
"386,30279,7\n"
"386,6489,0\n"
"387,52034,8\n"
"387,54915,8\n"
"387,32863,8\n"
"387,37996,7\n"
"387,34055,8\n"
"387,32365,7\n"
"387,18671,8\n"
"387,12549,7\n"
"387,14893,7\n"
"387,37982,7\n"
"387,39026,7\n"
"387,22043,8\n"
"387,36729,9\n"
"387,38085,9\n"
"387,42030,9\n"
"387,25537,9\n"
"387,53127,9\n"
"387,41120,7\n"
"387,23289,8\n"
"387,15335,10\n"
"387,13161,7\n"
"387,15729,7\n"
"387,11061,10\n"
"387,40842,8\n"
"387,450,8\n"
"387,37021,7\n"
"387,12679,8\n"
"387,48561,9\n"
"387,9617,8\n"
"387,7791,8\n"
"387,4280,9\n"
"387,6954,9\n"
"387,39326,8\n"
"387,51019,8\n"
"387,6045,8\n"
"387,39247,8\n"
"387,12175,8\n"
"387,48643,7\n"
"387,32268,9\n"
"387,32526,8\n"
"387,37515,8\n"
"387,9181,8\n"
"387,31442,8\n"
"387,33075,8\n"
"387,39535,9\n"
"387,31722,8\n"
"387,2472,8\n"
"387,15689,9\n"
"387,11933,8\n"
"387,4155,9\n"
"387,39705,9\n"
"387,41364,7\n"
"387,28927,8\n"
"387,53236,8\n"
"387,13759,8\n"
"387,756,7\n"
